index,permno,ticker_symbol,coeff
0,10051,SEQL,0.1734418097009931
1,10104,ORCL,0.17344181934941452
2,10145,HON,0.1741205617070381
3,10158,AMRC,0.1727633107481164
4,10220,BWC,0.1727632887690124
5,10294,HVT,0.17242411416399975
6,10516,ADM,0.1744600227567981
7,10517,AAN,0.1744600227567981
8,10606,WATTA,0.17310253781414509
9,10629,FNB,0.1737811528853951
10,10693,HRC,0.17479954403762032
11,10866,BG,0.17378114960493185
12,10874,BC,0.1734418097009931
13,10890,BGH,0.17310251949822503
14,10932,WBST,0.17242411416399975
15,10933,MAKL,0.1727632887690124
16,11018,FBP,0.17208499561440738
17,11144,AVD,0.1744600203547102
18,11208,OFG,0.17208499561440738
19,11267,CTR,0.17446003507516622
20,11308,KO,0.1744600650147347
21,11370,ENV,0.17412055152263697
22,11404,ED,0.1727632887690124
23,11533,FICI,0.17479951742246824
24,11547,CNMD,0.2063787673153752
25,11581,APWR,0.17479954613220533
26,11628,CPF,0.17446000743870085
27,11644,CRK,0.17310252270685336
28,11664,GDOT,0.17412056443864632
29,11674,DTE,0.17310253242710974
30,11691,ALEX,0.17310253242710974
31,11731,AAIC,0.17479956771547092
32,11809,CLH,0.17513913616289084
33,11850,XON,0.17615830462040372
34,11891,MGMG,0.174460005036613
35,11955,USAS,0.1744600227567981
36,11990,KKR,0.17446001166545166
37,12008,DY,0.1741205811879426
38,12009,QUAD,0.17446004800405093
39,12036,GMT,0.1734418097009931
40,12052,GD,0.17479954613220533
41,12060,GE,0.17310251949822503
42,12062,LH,0.17446001842825287
43,12211,LINZ,0.17242411416399975
44,12366,BAH,0.1741205491205491
45,12369,GM,0.17242411416399975
46,12373,HHC,0.17378115928992666
47,12437,ABH,0.1737812066448084
48,12448,FRC,0.17412056443864632
49,12449,FLT,0.1751391028165099
50,12473,SWFT,0.17412055152263697
51,12476,TRGP,0.174120640996046
52,12477,WD,0.1734418097009931
53,12490,IBM,0.1747995338914047
54,12503,HR,0.1737811640890421
55,12515,BKU,0.17242411416399975
56,12521,LEAF,0.1731025500247584
57,12558,KMI,0.17310251949822503
58,12559,NPTN,0.1744600330499379
59,12570,IT,0.1744600203547102
60,12591,APO,0.1747996060288347
61,12615,FF,0.17310251949822503
62,12622,HCA,0.17446000743870085
63,12623,HII,0.17412055152263697
64,12629,MX,0.17242411416399975
65,12641,AL,0.17378114960493185
66,12650,KSU,0.17310253519758506
67,12781,LG,0.1734418097009931
68,12783,THR,0.17513911167793042
69,12788,KOS,0.17683832642989522
70,12796,SAVE,0.1734418097009931
71,12872,MPC,0.17479954770608047
72,12877,PTGI,0.1747996303082625
73,12905,SXC,0.17310251949822503
74,12981,FBHS,0.1737811628653221
75,13019,GNE,0.1727632887690124
76,13035,XYL,0.174460005036613
77,13046,UI,0.17378115928992666
78,13084,MN,0.1727632887690124
79,13085,VAC,0.17547916984421374
80,13116,BCEI,0.17310251949822503
81,13124,LPI,0.17310251949822503
82,13141,WPX,0.17649810681531156
83,13181,GWRE,0.17479951742246824
84,13188,POST,0.1754787790658766
85,13210,EPAM,0.1731025500247584
86,13244,MTDR,0.17513919804342537
87,13249,PRLB,0.17479969437407808
88,13253,SLCA,0.17276329197764073
89,13284,ALSN,0.17513912176488172
90,13302,RM,0.1734418097009931
91,13303,LT,0.17446007790000076
92,13305,ZWS,0.17310251949822503
93,13316,VCRA,0.17310251949822503
94,13318,YELP,0.17446004450751212
95,13337,FET,0.17446018715444972
96,13343,MRC,0.1747995240513069
97,13356,PSX,0.174460005036613
98,13399,TLYS,0.17310251949822503
99,13429,ALEX,0.1734418097009931
100,13447,NOW,0.17446007159540672
101,13508,NGVC,0.17310251949822503
102,13511,PANW,0.174799576670724
103,13543,GMED,0.17513922943252616
104,13577,HY,0.1734418097009931
105,13579,NBHC,0.17242411416399975
106,13604,BERY,0.17412055152263697
107,13610,OLM,0.1727632887690124
108,13622,HOUS,0.1727633107481164
109,13625,SSTK,0.17344181389694535
110,13687,RH,0.1744600227567981
111,13688,PCG,0.1734418133543917
112,13721,ABBV,0.17479956771547092
113,13730,PBF,0.17547878026746536
114,13739,BFAM,0.17310251949822503
115,13743,VTOL,0.17310253242710974
116,13748,TPH,0.17412056844517199
117,13766,BCC,0.17446004864960477
118,13788,ZTS,0.17310253781414509
119,13802,APAM,0.17412062723701105
120,13816,MODN,0.1727633097014924
121,13837,EVTC,0.174460005036613
122,13860,SEAS,0.17479960596036603
123,13862,TMHC,0.1741205491205491
124,13890,ECOM,0.17378115978933298
125,13901,MO,0.17446009109277863
126,13904,VOYA,0.17615840982301817
127,13908,PFSI,0.17344181389694535
128,13911,Q,0.17446005305758855
129,13919,AMBC,0.1812655555951605
130,13921,CUBI,0.17208499561440738
131,13928,COP,0.17581850189427708
132,13936,PVH,0.17547878285578405
133,13983,COTY,0.17344182447345682
134,13993,GTT,0.17412057385341076
135,14030,CWEN,0.17276331462678185
136,14076,MUSA,0.174120636048487
137,14136,RNG,0.17310253519758506
138,14141,SAIC,0.17479954613220533
139,14179,AR,0.1731025697772212
140,14182,BURL,0.1727632887690124
141,14185,CPS,0.17310251949822503
142,14213,MMI,0.17208499561440738
143,14221,RMAX,0.17242411416399975
144,14229,OMF,0.1731025815151656
145,14231,VEEV,0.174460005036613
146,14273,CHGG,0.17208499561440738
147,14274,TCS,0.1737811758390988
148,14276,KODK,0.17412067016418198
149,14295,TWTR,0.1727632887690124
150,14296,VNCE,0.1737811758390988
151,14328,AMC,0.1734418133543917
152,14329,ARMK,0.17479956688204962
