index,permno,ticker_symbol,coeff
0,10026,JJSF,0.17821831337089758
1,10032,PLXS,0.17784823319372167
2,10044,RMCF,0.183036623896382
3,10107,MSFT,0.17784820876274965
4,10138,TROW,0.17729321097560857
5,10200,RGEN,0.176553457997146
6,10232,ESBK,0.17710824555523025
7,10239,PTVCB,0.17673837930642616
8,10252,INDB,0.176923305234515
9,10257,DLHC,0.17766319999104324
10,10258,AVAN,0.17673840054328185
11,10318,BCP,0.1771082471663169
12,10333,XOMA,0.178403392910218
13,10355,DJCO,0.17673838038320389
14,10382,ASTE,0.17710824587481838
15,10397,WERN,0.17784820871000842
16,10421,SKYW,0.17803324253514402
17,10443,FRKT,0.17766319967292027
18,10463,REFR,0.17655345467992606
19,10501,AMWD,0.17766322158342213
20,10514,TWMC,0.17784820577730504
21,10530,KITS,0.17673836749188204
22,10547,CLFD,0.17673837490598693
23,10550,PDEX,0.17747823026434612
24,10645,LAKE,0.17618369696008895
25,10649,PTSI,0.1780332475057741
26,10661,CYAN,0.17710823397679482
27,10696,FISV,0.17729321053413286
28,10777,FCNCA,0.1769232862178334
29,10781,BKSC,0.17673836705166113
30,10812,HTLD,0.17692331554102617
31,10860,OSUR,0.1774781807700895
32,10886,DXYN,0.17766318344856108
33,10892,STSS,0.17751598390047857
34,10901,ITIC,0.17747833030786586
35,10909,CERN,0.17747818449600386
36,10966,AXGN,0.17766320153846588
37,11006,FLIC,0.1771082451294293
38,11043,PCMC,0.1774781781469618
39,11154,PLAB,0.17673837151450314
40,11174,DICE,0.17766318972797368
41,11275,KRMD,0.17747818718699573
42,11285,FBNC,0.17659113457524891
43,11292,ICCC,0.17710823978769152
44,11293,WSBC,0.17636856935618495
45,11343,SAFM,0.17673837033072892
46,11348,CNBKA,0.17766318633571576
47,11368,AIRT,0.17940482012152026
48,11369,UBSI,0.1780332563114228
49,11394,THMO,0.17747817383811293
50,11397,WASH,0.17821832409165672
51,11403,CDNC,0.17784822066588024
52,11441,NHLD,0.17729319619098244
53,11442,CHCO,0.1772932296467126
54,11481,EBIX,0.17784819606876812
55,11499,CECO,0.17673837987725996
56,11511,CPSX,0.17803323300294088
57,11565,HBNC,0.17747820134211834
58,11587,ATRI,0.1776632223431916
59,11593,SNLF,0.17766318501106163
60,11600,XRAY,0.17710828549206797
61,11618,FAST,0.17821827646206517
62,11636,APPA,0.17636857338467063
63,11654,NATA,0.17821827703037374
64,11701,IMKTA,0.17858847523022536
65,11748,DGICB,0.1772931932058328
66,11752,IIVI,0.1771082395493713
67,11775,JWAIA,0.17655346919575102
68,11786,SIVB,0.17803332633471217
69,11790,ALCO,0.17692330425676034
70,11803,MITK,0.1769233031076424
71,11825,CYBE,0.17673837035457818
72,11844,PKVL,0.17747821373416245
73,11884,JEAN,0.177478202525615
74,11896,MXIM,0.1778481946757115
75,11992,TCF,0.1775160313278841
76,11995,COKE,0.17766317953832128
77,12017,XWEL,0.17766320151835038
78,12068,OLDB,0.17696105481374605
79,12073,PBCT,0.17733096817650212
80,12089,RP,0.17784819413541578
81,12146,CSBR,0.17692329725497746
82,12166,FXBC,0.17618368934101325
83,12189,HIFS,0.17710830616567588
84,12209,LWAY,0.17673836645704205
85,12226,MGPI,0.17673839847430922
86,12266,TCLN,0.17784819688932807
87,12307,AMRS,0.17821827488897968
88,12308,CHTR,0.17766319024846255
89,12310,HGSH,0.1772932265985424
90,12350,MULN,0.17692329161284015
91,12358,NFEC,0.17673836430931095
92,12360,PACB,0.17618369203993803
93,12362,STND,0.17766323122491268
94,12363,VRA,0.17692330453584937
95,12374,IPHI,0.2820412214637756
96,12380,PCYG,0.17747819268412968
97,12400,LPLA,0.1789588294007622
98,12413,ZGNX,0.1767383628737851
99,12480,ACNB,0.17729320732851145
100,12487,HFBL,0.17747819545063517
101,12488,LEDS,0.17784821228248937
102,12493,QADA,0.17840335272219335
103,12494,RNET,0.17784820784004718
104,12497,ASMB,0.1767383858011649
105,12502,OFED,0.17710824588794105
106,12573,ACRX,0.17784820644788046
107,12577,FLDM,0.17729322182991494
108,12579,GEVO,0.17803323093232615
109,12583,PCRX,0.17747818296417273
110,12588,USCR,0.17673836887281896
111,12639,CSOD,0.1763685939775184
112,12640,SREV,0.17877371193509334
113,12758,ECOL,0.17766318823354044
114,12798,WIFI,0.17747818337903642
115,12880,AMCX,0.17766317005200497
116,12913,CHEF,0.1780332567051345
117,12920,IROQ,0.1771082387462957
118,12927,ZG,0.17747817642101918
119,13006,FMNB,0.17710825843401104
120,13007,LCNB,0.17729322252594487
121,13105,ACHC,0.17766322334038345
122,13107,CLVS,0.17714600284777385
123,13108,GRPN,0.1772932241692297
124,13111,NLNK,0.1778482025844368
125,13159,FBIO,0.1774781834696248
126,13168,TRIP,0.17858848850265174
127,13169,ZNGA,0.17673842938116793
128,13198,BOTJ,0.17692330016009822
129,13201,REGI,0.1772932542559306
130,13202,VSTM,0.17803324299657391
131,13260,BCOV,0.17636856925784886
132,13262,CCXI,0.17788602835665848
133,13265,OIG,0.17821829861846786
134,13278,HMST,0.1774781829693764
135,13279,NUWE,0.17803324223678635
136,13280,SYNC,0.17710827238481422
137,13323,ENPH,0.17710824372350623
138,13324,GALT,0.17618369982394846
139,13325,MACK,0.17747818472596488
140,13326,MTSI,0.17821834600210434
141,13328,HEAR,0.17803325640184042
142,13369,CLIR,0.17766317461839293
143,13375,FRGI,0.17766322355500277
144,13377,PFPT,0.17840334915344336
145,13379,SPLK,0.1767383666284737
146,13407,META,0.1767383848790378
147,13410,SUPN,0.1780332741601434
