index,permno,ticker_symbol,coeff
0,10026,JJSF,0.17617198003809278
1,10032,PLXS,0.17629168299848097
2,10044,RMCF,0.18012610932333178
3,10051,SEQL,0.1752146579502124
4,10104,ORCL,0.1759326160835583
5,10107,MSFT,0.17653108764475162
6,10138,TROW,0.17581291959733858
7,10145,HON,0.1765310724268574
8,10158,AMRC,0.17557361487070614
9,10200,RGEN,0.1747361740756615
10,10220,BWC,0.17521465760691535
11,10232,ESBK,0.17557359760393912
12,10239,PTVCB,0.17533429839453962
13,10252,INDB,0.1754539444156659
14,10257,DLHC,0.17581292677125063
15,10258,AVAN,0.17533430966174757
16,10294,HVT,0.17497540656545055
17,10318,BCP,0.1754539446105792
18,10333,XOMA,0.17641138453622945
19,10355,DJCO,0.1749754055492261
20,10382,ASTE,0.1761719674413507
21,10397,WERN,0.17629167788836977
22,10421,SKYW,0.17605227857725914
23,10443,FRKT,0.1762916678312283
24,10463,REFR,0.17521465444579945
25,10501,AMWD,0.17557360683263504
26,10514,TWMC,0.1759326008191579
27,10516,ADM,0.17593259795134192
28,10517,AAN,0.17605227426259962
29,10530,KITS,0.1752146537210738
30,10547,CLFD,0.17533429771757875
31,10550,PDEX,0.1756932728606887
32,10606,WATTA,0.17545394464535308
33,10629,FNB,0.17557360320925744
34,10645,LAKE,0.17461657546519166
35,10649,PTSI,0.1762916685622541
36,10661,CYAN,0.17569324964088573
37,10693,HRC,0.17605226942393315
38,10696,FISV,0.1760522786268805
39,10777,FCNCA,0.17521465404807574
40,10781,BKSC,0.17545393958173439
41,10812,HTLD,0.17557360255360324
42,10860,OSUR,0.17617196387529932
43,10866,BG,0.1758129203133072
44,10874,BC,0.1752146628256756
45,10886,DXYN,0.17617196557255144
46,10890,BGH,0.17521466713714517
47,10892,STSS,0.17581293126155695
48,10901,ITIC,0.17557364120755514
49,10909,CERN,0.17605227601691165
50,10932,WBST,0.1754539581645197
51,10933,MAKL,0.1754539463223587
52,10966,AXGN,0.17557360143891626
53,11006,FLIC,0.17593259376977524
54,11018,FBP,0.17533430867515637
55,11043,PCMC,0.175573593420827
56,11144,AVD,0.17653107160912385
57,11154,PLAB,0.1753342961538771
58,11174,DICE,0.17593259312058507
59,11208,OFG,0.1752146716009435
60,11267,CTR,0.17641137942209473
61,11275,KRMD,0.17581292734182047
62,11285,FBNC,0.17497540195982864
63,11292,ICCC,0.17545393954662336
64,11293,WSBC,0.17473617686572573
65,11308,KO,0.17593259313507928
66,11343,SAFM,0.1753342947542429
67,11348,CNBKA,0.176052278596196
68,11368,AIRT,0.17729837274333052
69,11369,UBSI,0.17593260501047547
70,11370,ENV,0.17605227838108609
71,11394,THMO,0.17605227053485387
72,11397,WASH,0.1767705334790856
73,11403,CDNC,0.17581293259552622
74,11404,ED,0.17569327094052503
75,11441,NHLD,0.1760522655661561
76,11442,CHCO,0.17569326353050144
77,11481,EBIX,0.17653106959208545
78,11499,CECO,0.17545395093908336
79,11511,CPSX,0.1765310661785322
80,11533,FICI,0.1760522667311903
81,11547,CNMD,0.1762916540893509
82,11565,HBNC,0.17545394686466048
83,11581,APWR,0.1767705157001705
84,11587,ATRI,0.17569327176999633
85,11593,SNLF,0.17653108668254347
86,11600,XRAY,0.17509503795134373
87,11618,FAST,0.1764113600301595
88,11628,CPF,0.17655548147811567
89,11636,APPA,0.17473617796994992
90,11644,CRK,0.17521465397625538
91,11654,NATA,0.17653107130726545
92,11664,GDOT,0.17545394227398095
93,11674,DTE,0.1755735984747018
94,11691,ALEX,0.1755735984747018
95,11701,IMKTA,0.17617198122031374
96,11731,AAIC,0.17653107781527536
97,11748,DGICB,0.1759325894031131
98,11752,IIVI,0.17557359307108955
99,11775,JWAIA,0.17497540540661893
100,11786,SIVB,0.1758129594232999
101,11790,ALCO,0.1753342963712724
102,11803,MITK,0.17521465968656783
103,11809,CLH,0.17643574749313706
104,11825,CYBE,0.1756932535306816
105,11844,PKVL,0.17617197713576674
106,11850,XON,0.1766507987721242
107,11884,JEAN,0.17569325506391278
108,11891,MGMG,0.17629165905605004
109,11896,MXIM,0.17641135943241062
110,11955,USAS,0.176171968222194
111,11990,KKR,0.17629166125831092
112,11992,TCF,0.1759326356293045
113,11995,COKE,0.1764113716537078
114,12008,DY,0.1756932575917141
115,12009,QUAD,0.17641136410578845
116,12017,XWEL,0.1758129311908923
117,12036,GMT,0.1755735938200535
118,12052,GD,0.1767705167943218
119,12060,GE,0.1748557846995596
120,12062,LH,0.1767705341997954
121,12068,OLDB,0.17497541468761882
122,12073,PBCT,0.17569325778806122
123,12089,RP,0.17593260304196529
124,12146,CSBR,0.17533429512141918
125,12166,FXBC,0.17485578531674223
126,12189,HIFS,0.1754539675188101
127,12209,LWAY,0.17509502278948813
128,12211,LINZ,0.17569326890488038
129,12226,MGPI,0.17509503662505801
130,12266,TCLN,0.1755735931807986
131,12307,AMRS,0.17629166320695627
132,12308,CHTR,0.17605227492784375
133,12310,HGSH,0.17593260261823873
134,12350,MULN,0.17557359102772463
135,12358,NFEC,0.17521465751764642
136,12360,PACB,0.17449697680713383
137,12362,STND,0.1754539537781822
138,12363,VRA,0.17521465618981985
139,12366,BAH,0.17617196411581215
140,12369,GM,0.1748557931517749
141,12373,HHC,0.17569325199363056
142,12374,IPHI,0.1759326057482234
143,12380,PCYG,0.17605227626757106
144,12400,LPLA,0.17641140977643469
145,12413,ZGNX,0.1750950247862352
146,12437,ABH,0.17593259761514726
147,12448,FRC,0.17581292696512552
148,12449,FLT,0.17665078275580148
149,12473,SWFT,0.17605227404125484
